Source,Target,Direct Lines,Direct Words,Indirect Lines,Indirect Words,Talked About,Mentions
Robert Baratheon,Wylla,0,0,0,0,3,1
Rodrik Cassel,Aron Santagar,0,0,0,0,4,3
Rodrik Cassel,Bran Stark,2,11,7,64,0,0
Rodrik Cassel,Catelyn Stark,22,298,7,67,1,0
Rodrik Cassel,Donnis,1,10,8,65,0,0
Rodrik Cassel,Eddard Stark,3,12,0,0,0,0
Rodrik Cassel,Jaime Lannister,0,0,0,0,1,0
Rodrik Cassel,Joffrey Baratheon,3,26,6,49,2,0
Rodrik Cassel,Lew (guard),1,10,8,65,0,0
Rodrik Cassel,Luwin,2,16,9,147,0,0
Rodrik Cassel,Moreo Tumitis,4,22,2,4,0,0
Rodrik Cassel,Petyr Baelish,0,0,3,12,3,2
Rodrik Cassel,Robb Stark,4,58,16,180,1,0
Rodrik Cassel,Sandor Clegane,3,31,6,44,0,0
Rodrik Cassel,Theon Greyjoy,0,0,20,238,0,0
Rodrik Cassel,Tommen Baratheon,2,11,7,64,0,0
Rodrik Cassel,Unknown (Bran's assassin),0,0,0,0,2,0
Rodrik Cassel,Unknown (Rodrik Cassel's mother),0,0,0,0,1,0
Sandor Clegane,Arya Stark,0,0,0,0,2,0
Sandor Clegane,Barristan Selmy,0,0,1,7,0,0
Sandor Clegane,Bran Stark,0,0,4,47,1,0
Sandor Clegane,Cersei Lannister,0,0,1,7,1,0
Sandor Clegane,Donnis,0,0,4,47,0,0
Sandor Clegane,Eddard Stark,4,24,0,0,0,0
Sandor Clegane,Ilyn Payne,0,0,1,7,0,0
Sandor Clegane,Joffrey Baratheon,2,24,9,75,2,0
Sandor Clegane,Lew (guard),0,0,4,47,0,0
Sandor Clegane,Mycah,0,0,0,0,3,0
Sandor Clegane,Renly Baratheon,0,0,1,7,0,0
Sandor Clegane,Robb Stark,2,22,2,25,0,0
Sandor Clegane,Rodrik Cassel,2,25,2,22,0,0
Sandor Clegane,Sansa Stark,2,10,1,7,0,0
Sandor Clegane,Theon Greyjoy,0,0,4,47,0,0
Sandor Clegane,Tommen Baratheon,0,0,4,47,0,0
Sandor Clegane,Tyrion Lannister,6,33,2,24,0,0
Sandor Clegane,Unknown (A man),1,7,0,0,0,0
Sandor Clegane,Unknown (A second man),1,7,0,0,0,0
Sansa Stark,Aerys II Targaryen,0,0,0,0,1,1
Sansa Stark,Arya Stark,28,247,11,96,4,1
Sansa Stark,Barristan Selmy,2,38,14,159,0,0
Sansa Stark,Beth Cassel,1,6,6,49,0,0
Sansa Stark,Cersei Lannister,2,24,14,173,4,0
Sansa Stark,Eddard Stark,7,66,0,0,3,2
Sansa Stark,Ilyn Payne,1,9,8,122,2,0
Sansa Stark,Jeyne Poole,0,0,7,55,0,0
Sansa Stark,Joffrey Baratheon,20,127,16,193,2,1
Sansa Stark,Jon Snow,1,3,0,0,3,1
Sansa Stark,Jory Cassel,0,0,7,66,0,0
Sansa Stark,Mordane,9,62,0,0,2,2
Sansa Stark,Mycah,0,0,3,11,1,0
Sansa Stark,Myrcella Baratheon,0,0,2,20,4,2
Sansa Stark,Renly Baratheon,1,45,8,86,0,0
Sansa Stark,Robert Baratheon,0,0,7,66,2,2
Sansa Stark,Sandor Clegane,0,0,0,0,2,0
Sansa Stark,Unknown (Squire),1,2,0,0,0,0
Sansa Stark,Vayon Poole,0,0,7,66,0,0
The Other,Waymar Royce,1,1,0,0,0,0
The Other,Will,0,0,1,1,0,0
Theon Greyjoy,Bran Stark,2,12,9,54,0,0
Theon Greyjoy,Catelyn Stark,7,48,2,5,0,0
Theon Greyjoy,Desmond,1,7,9,56,0,0
Theon Greyjoy,Donnis,0,0,1,3,0,0
Theon Greyjoy,Eddard Stark,4,31,6,32,1,1
Theon Greyjoy,Hallis Mollen,1,2,2,12,0,0
Theon Greyjoy,Harwin,1,7,9,56,0,0
Theon Greyjoy,Hullen,2,11,8,52,0,0
Theon Greyjoy,Jaime Lannister,0,0,0,0,2,0
Theon Greyjoy,Joffrey Baratheon,1,3,0,0,0,0
Theon Greyjoy,Jon Snow,4,32,6,31,0,0
Theon Greyjoy,Jory Cassel,1,7,9,56,0,0
Theon Greyjoy,Lew (guard),0,0,1,3,0,0
Theon Greyjoy,Luwin,0,0,6,39,0,0
Theon Greyjoy,Robb Stark,4,18,16,101,0,0
Theon Greyjoy,Rodrik Cassel,2,5,8,51,0,0
Theon Greyjoy,Sandor Clegane,0,0,1,3,0,0
Theon Greyjoy,Tommen Baratheon,0,0,1,3,0,0
Theon Greyjoy,Unknown (Bran's assassin),0,0,0,0,2,0
Three-Eyed crow,Bran Stark,24,121,0,0,0,0
Toad,Donal Noye,1,5,0,0,0,0
Toad,Grenn,0,0,4,41,0,0
Toad,Jon Snow,3,36,1,5,1,0
Toad,Unknown (Raper),0,0,4,41,0,0
Tommen Baratheon,Bran Stark,0,0,0,0,2,2
Tommen Baratheon,Cersei Lannister,0,0,2,13,0,0
Tommen Baratheon,Jaime Lannister,0,0,2,13,0,0
Tommen Baratheon,Myrcella Baratheon,0,0,2,13,0,0
Tommen Baratheon,Tyrion Lannister,2,13,0,0,0,0
Tyrion Lannister,Aerys II Targaryen,0,0,0,0,1,0
Tyrion Lannister,Alliser Thorne,3,51,2,5,0,0
Tyrion Lannister,Ayrmidon,0,0,0,0,1,1
Tyrion Lannister,Benjen Stark,3,20,2,9,4,1
Tyrion Lannister,Bran Stark,0,0,0,0,8,0
Tyrion Lannister,Catelyn Stark,0,0,0,0,3,2
Tyrion Lannister,Cersei Lannister,7,121,9,156,3,0
Tyrion Lannister,Chayle,2,44,0,0,0,0
Tyrion Lannister,Eddard Stark,0,0,0,0,9,5
Tyrion Lannister,Jaime Lannister,15,170,11,204,2,0
Tyrion Lannister,Jeor Mormont,0,0,0,0,1,0
Tyrion Lannister,Joanna Lannister,0,0,0,0,1,0
Tyrion Lannister,Joffrey Baratheon,9,125,2,11,3,0
Tyrion Lannister,Jon Snow,69,1130,5,57,2,0
Tyrion Lannister,Luwin,0,0,0,0,5,0
Tyrion Lannister,Morrec,1,2,0,0,0,0
Tyrion Lannister,Myrcella Baratheon,2,45,14,232,0,0
Tyrion Lannister,Rickon Stark,0,0,0,0,1,0
Tyrion Lannister,Robb Stark,0,0,0,0,2,1
Tyrion Lannister,Robert Baratheon,0,0,0,0,5,5
Tyrion Lannister,Sandor Clegane,6,35,9,125,0,0
Tyrion Lannister,Tommen Baratheon,2,18,14,259,1,1
Tyrion Lannister,Tywin Lannister,0,0,0,0,3,0
Tyrion Lannister,Unknown (Stark servant),2,29,0,0,0,0
Tyrion Lannister,Yoren,0,0,0,0,1,1
Unknown (A man),Barristan Selmy,0,0,2,7,0,0
Unknown (A man),Cersei Lannister,0,0,2,7,0,0
Unknown (A man),Ilyn Payne,0,0,2,7,0,0
Unknown (A man),Joffrey Baratheon,0,0,2,7,0,0
Unknown (A man),Renly Baratheon,0,0,2,7,0,0
Unknown (A man),Sandor Clegane,0,0,2,7,0,0
Unknown (A man),Sansa Stark,0,0,2,7,0,0
Unknown (A second man),Barristan Selmy,0,0,1,5,0,0
Unknown (A second man),Cersei Lannister,0,0,1,5,0,0
Unknown (A second man),Ilyn Payne,0,0,1,5,0,0
Unknown (A second man),Joffrey Baratheon,0,0,1,5,0,0
Unknown (A second man),Renly Baratheon,0,0,1,5,0,0
Unknown (A second man),Sandor Clegane,0,0,1,5,0,0
Unknown (A second man),Sansa Stark,0,0,1,5,0,0
Unknown (Another man),Bran Stark,2,6,0,0,0,0
Unknown (Another man),Desmond,2,6,0,0,0,0
Unknown (Another man),Eddard Stark,2,6,0,0,0,0
Unknown (Another man),Harwin,2,6,0,0,0,0
Unknown (Another man),Hullen,2,6,0,0,0,0
Unknown (Another man),Jon Snow,2,6,0,0,0,0
Unknown (Another man),Jory Cassel,2,6,0,0,0,0
Unknown (Another man),Robb Stark,2,6,0,0,0,0
Unknown (Another man),Theon Greyjoy,2,6,0,0,0,0
Unknown (Bran's assassin),Bran Stark,0,0,0,0,1,0
Unknown (Bran's assassin),Catelyn Stark,5,25,0,0,0,0
Unknown (Eunuch),Daenerys Targaryen,2,50,0,0,0,0
Unknown (Eunuch),Drogo,2,50,0,0,0,0
Unknown (Eunuch),Illyrio Mopatis,2,50,0,0,0,0
Unknown (Eunuch),Jorah Mormont,2,50,0,0,0,0
Unknown (Eunuch),Moro,2,50,0,0,0,0
Unknown (Eunuch),Rhogoro,2,50,0,0,0,0
Unknown (Eunuch),Viserys Targaryen,2,50,0,0,0,0
Unknown (Gold Cloak),Catelyn Stark,4,37,0,0,0,0
Unknown (Gold Cloak),Petyr Baelish,0,0,0,0,1,1
Unknown (Illyrio's servant),Daenerys Targaryen,2,40,0,0,0,0
Unknown (Illyrio's servant),Drogo,0,0,0,0,1,1
Unknown (King's Steward),Eddard Stark,4,43,0,0,0,0
Unknown (King's Steward),Jon Arryn,0,0,0,0,1,1
Unknown (Raper),Donal Noye,1,5,0,0,0,0
Unknown (Raper),Grenn,0,0,2,9,0,0
Unknown (Raper),Jon Snow,1,4,1,5,0,0
Unknown (Raper),Toad,0,0,2,9,0,0
Unknown (Squire),Sansa Stark,2,21,0,0,0,0
Varys,Aron Santagar,0,0,0,0,1,1
Varys,Barristan Selmy,0,0,0,0,1,1
Varys,Bran Stark,0,0,0,0,2,1
Varys,Catelyn Stark,13,242,1,7,0,0
Varys,Eddard Stark,7,102,0,0,1,0
Varys,Joffrey Baratheon,0,0,0,0,1,1
Varys,Petyr Baelish,1,7,20,344,0,0
Varys,Pycelle,0,0,7,102,1,1
Varys,Renly Baratheon,0,0,7,102,0,0
Varys,Robert Baratheon,0,0,0,0,6,2
Varys,Rodrik Cassel,0,0,0,0,2,2
Varys,Stannis Baratheon,0,0,0,0,1,1
Vayon Poole,Arya Stark,0,0,0,0,3,0
Vayon Poole,Cersei Lannister,0,0,0,0,1,0
Vayon Poole,Eddard Stark,5,42,0,0,0,0
Vayon Poole,Jory Cassel,0,0,0,0,2,2
Vayon Poole,Robert Baratheon,0,0,0,0,1,0
Viserys Targaryen,Aegon I Targaryen,0,0,0,0,1,1
Viserys Targaryen,Aegon Targaryen (son of Rhaegar),0,0,0,0,1,0
Viserys Targaryen,Aerys II Targaryen,0,0,0,0,2,0
Viserys Targaryen,Daenerys Targaryen,38,516,19,235,2,0
Viserys Targaryen,Doreah,0,0,3,46,3,1
Viserys Targaryen,Drogo,0,0,3,46,11,5
Viserys Targaryen,Elia Martell,0,0,0,0,1,1
Viserys Targaryen,Illyrio Mopatis,14,184,6,89,8,7
Viserys Targaryen,Irri,0,0,3,46,2,1
Viserys Targaryen,Jaime Lannister,0,0,0,0,1,0
Viserys Targaryen,Jhiqui,0,0,3,46,2,1
Viserys Targaryen,Jorah Mormont,3,43,5,66,1,1
Viserys Targaryen,Rhaegar Targaryen,0,0,0,0,1,1
Viserys Targaryen,Rhaenys Targaryen (daughter of Rhaegar),0,0,0,0,1,0
Viserys Targaryen,Robert Baratheon,0,0,0,0,5,0
Viserys Targaryen,Unknown (Palanquin),0,0,0,0,1,0
Waymar Royce,Gared,14,153,15,118,0,0
Waymar Royce,Robert Baratheon,0,0,0,0,0,1
Waymar Royce,The Other,4,12,3,15,0,0
Waymar Royce,Unknown (Waymar Royce's wet nurse),0,0,0,0,1,0
Waymar Royce,Will,24,240,18,114,0,0
Will,Gared,1,10,19,229,0,0
Will,Unknown (Will's mother),0,0,0,0,1,0
Will,Waymar Royce,22,243,0,0,0,0
Willem Darry,Daenerys Targaryen,2,4,0,0,0,0
Yoren,Tyrion Lannister,0,0,1,1,0,0
Yoren,Unknown (Peasants),1,1,0,0,0,0
